RMSE_diff,Rsq_diff,N_diff,Prop,Layer
-0.0390166,0.083473457,0.215066829,Sand,1
-0.052907788,0.104601516,0.147196262,Sand,2
-0.054423254,0.112456377,0.114888628,Sand,3
-0.047931006,0.076448938,0.131210191,Sand,4
-0.069270706,0.09967359,0.175384615,Sand,5
-0.000271395,-0.020671796,0.173387097,Sand,6
-0.026912313,0.054189012,0.215066829,silt,1
-0.035160926,0.062581533,0.147196262,silt,2
-0.056952103,0.096362914,0.114888628,silt,3
-0.03657885,0.065957849,0.131210191,silt,4
-0.073932668,0.114167799,0.175384615,silt,5
-0.001559797,0.003055258,0.173387097,silt,6
0.012361219,0.068456329,0.221142163,clay,1
-0.047902848,0.120579153,0.153037383,clay,2
-0.019910924,0.083159697,0.120750293,clay,3
-0.057999053,0.061844633,0.131812421,clay,4
-0.023603132,0.070852793,0.17611026,clay,5
-0.011088441,0.013598125,0.177419355,clay,6
-0.024290068,0.00719647,0.199740597,pH,1
-0.039993263,0.005457272,0.141426783,pH,2
-0.000367825,-0.00859079,0.115869018,pH,3
-0.013099206,-0.011981169,0.110960758,pH,4
-0.036942675,0.011968929,0.159869494,pH,5
0.007398668,0.004134615,0.151515152,pH,6
-0.137650452,-0.046137416,0.143812709,oc,1
-0.135505791,0.007669828,0.108910891,oc,2
-0.338500195,-0.010247539,0.078202995,oc,3
-0.624288902,0.095718442,0.086642599,oc,4
0.099924724,-0.007903839,0.13363029,oc,5
0.011339351,0.080292889,0.102564103,oc,6
